vtx,x,y,z
0,0.0516317,0.0617019,0.0288156
1,0.0531725,0.0560066,0.0292688
2,0.0478059,0.0652213,0.0302739
3,0.0417787,0.063437,0.0308542
4,0.0387484,0.0643881,0.0324866
5,0.043105,0.0552634,0.0325376
6,0.0629214,0.0639801,0.0305939
7,0.0629693,0.0612326,0.0300037
8,0.0447883,0.0531035,0.033641
9,0.0572004,0.052135,0.0324494
10,0.0448846,0.0684467,0.0374591
11,0.0316564,0.0592432,0.0460209
12,0.0349245,0.0622582,0.0380973
13,0.0564378,0.0673669,0.0353927
14,0.0338336,0.0649575,0.0398218
15,0.074889,0.0588968,0.0342404
16,0.0701873,0.0643071,0.0358537
17,0.0280658,0.0634272,0.0401425
18,0.0747921,0.0651723,0.0352292
19,0.0427625,0.0501972,0.0400456
20,0.0606074,0.0694535,0.037571
21,0.0336273,0.0514593,0.0447937
22,0.0257989,0.0647808,0.042054
23,0.0497531,0.0732458,0.0395738
24,0.0352227,0.0446483,0.0486978
25,0.0499755,0.0483841,0.04276
26,0.0711775,0.053416,0.0384985
27,0.0368321,0.0808735,0.0443296
28,0.0281629,0.0576171,0.0494309
29,0.0394543,0.0756758,0.0435341
30,0.0638077,0.0759664,0.040449
31,0.0520348,0.082263,0.0436915
32,0.076542,0.0763878,0.0388963
33,0.0704819,0.0798911,0.039061
34,0.0592543,0.0479276,0.0402
35,0.0730745,0.0434567,0.0458698
36,0.0637814,0.0512896,0.0365738
37,0.0302615,0.0745694,0.0436369
38,0.0597105,0.0365758,0.054205
39,0.0355823,0.0856405,0.0482747
40,0.0601363,0.0871103,0.0430178
41,0.0676814,0.0434175,0.0451127
42,0.0262314,0.071518,0.0486146
43,0.0867331,0.0754042,0.049956
44,0.0499731,0.0876762,0.0442301
45,0.0287043,0.0527571,0.0526016
46,0.0782986,0.0531157,0.0450019
47,0.0307568,0.0434339,0.0526783
48,0.0255503,0.0613082,0.0495782
49,0.0807028,0.0646025,0.0434709
50,0.0701446,0.0873317,0.0459134
51,0.0239746,0.0558901,0.0587644
52,0.0440838,0.0888648,0.0472253
53,0.0353451,0.0347013,0.0569101
54,0.0335639,0.0283312,0.0609943
55,0.0580138,0.09282,0.0494113
56,0.0663179,0.0375177,0.0527631
57,0.0756788,0.0843117,0.045279
58,0.0733852,0.0282312,0.0559226
59,0.0404894,0.09092,0.0554213
60,0.0560058,0.0301721,0.0640793
61,0.0496324,0.0362302,0.0561688
62,0.0250922,0.0451705,0.0634391
63,0.0710857,0.0275451,0.0569519
64,0.0304187,0.0853825,0.0536592
65,0.0390358,0.0392045,0.0551069
66,0.022322,0.0706084,0.062614
67,0.0252832,0.0347855,0.0665767
68,0.0230202,0.0772931,0.0643581
69,0.0469926,0.0929668,0.0605725
70,0.039805,0.03208,0.0639364
71,0.0280897,0.0281476,0.0655427
72,0.0894161,0.0702548,0.0525807
73,0.0669554,0.0321477,0.0637558
74,0.0362014,0.0877745,0.0601849
75,0.0876731,0.0606879,0.0523218
76,0.0423323,0.0924674,0.0632929
77,0.0728719,0.088739,0.0550325
78,0.0461147,0.0332272,0.0628943
79,0.0220008,0.0633599,0.0636265
80,0.021984,0.052766,0.068811
81,0.0251803,0.0830448,0.0671978
82,0.0804261,0.0810187,0.0455684
83,0.0872011,0.0518372,0.0550168
84,0.0141995,0.0672891,0.0675107
85,0.0309282,0.08752,0.0641583
86,0.0121503,0.057034,0.0727495
87,0.0681216,0.0908487,0.0577562
88,0.00932676,0.0660519,0.0719248
89,0.0903571,0.0786556,0.0559697
90,0.100459,0.054524,0.0562803
91,0.0586825,0.0924431,0.0604576
92,0.0792467,0.0284273,0.0587569
93,0.00466504,0.0594633,0.0810867
94,0.0274246,0.0840722,0.0575239
95,0.077195,0.0845416,0.0549558
96,0.0716079,0.0253203,0.0622888
97,0.102852,0.0613555,0.0557782
98,0.0378702,0.0282843,0.0724324
99,0.0154281,0.0811361,0.0696651
100,0.0749141,0.0237798,0.0615606
101,0.0325683,0.0257051,0.0707847
102,0.0661374,0.0307539,0.0686196
103,0.0123976,0.0756643,0.0690955
104,0.107575,0.0731575,0.0590388
105,0.0900276,0.042923,0.0620311
106,0.00991865,0.0759255,0.0716224
107,0.0433606,0.0279966,0.0738913
108,0.0851969,0.0820961,0.0550301
109,0.0781488,0.023346,0.0767663
110,0.0602411,0.0247701,0.072764
111,0.0220913,0.0467211,0.0739754
112,0.0992287,0.0483124,0.0589127
113,0.0299242,0.0885381,0.0714447
114,0.0819451,0.0877812,0.0640167
115,0.0328269,0.0275544,0.0789621
116,0.071571,0.0295556,0.0710415
117,0.0178615,0.0932565,0.0765415
118,0.0902819,0.0828237,0.058934
119,0.0481304,0.024059,0.0766503
120,0.105951,0.0815034,0.0629458
121,0.0227974,0.0359162,0.0772096
122,0.0205544,0.0425271,0.0812666
123,0.006207,0.0508026,0.0850127
124,0.0777783,0.0893646,0.0636476
125,0.115266,0.0618858,0.0638381
126,0.0380344,0.0309455,0.0800349
127,0.0838908,0.0415614,0.0575434
128,0.028428,0.0277999,0.0750365
129,0.109062,0.0573578,0.0613595
130,0.00256252,0.0713582,0.081381
131,0.00493953,0.0775068,0.0812507
132,0.0528128,0.0993402,0.0747657
133,0.0703135,0.097824,0.0723444
134,0.0808166,0.0245308,0.0716763
135,0.119732,0.0500077,0.0717639
136,0.0110247,0.0897324,0.0752473
137,0.0563165,0.0239269,0.0796598
138,0.0855067,0.0297091,0.0688681
139,0.103255,0.0383568,0.0701835
140,0.0712533,0.0270366,0.076779
141,0.0401845,0.0289916,0.0836834
142,0.00819114,0.0861028,0.0790655
143,0.0302651,0.0257076,0.0841524
144,0.0638068,0.0217171,0.0805473
145,0.0452921,0.0215656,0.0871823
146,0.0933384,0.0339659,0.0735106
147,0.013938,0.0963604,0.084911
148,0.0353926,0.0252392,0.091343
149,0.0991617,0.0344306,0.0748427
150,-0.00029646,0.0806427,0.0896846
151,0.00729101,0.0910269,0.0900441
152,0.0809998,0.0921908,0.0756304
153,0.100934,0.0902371,0.0695463
154,0.109134,0.0449979,0.0688871
155,-0.00211331,0.0656914,0.0915668
156,0.0645652,0.10191,0.0836354
157,0.0176376,0.0973059,0.0833797
158,0.0218615,0.0380619,0.0876152
159,0.0752489,0.0253369,0.0801557
160,0.00638568,0.0831235,0.0876652
161,0.0307128,0.0991544,0.0910768
162,0.031933,0.0965803,0.0835955
163,0.0918191,0.0295127,0.079982
164,-0.00170626,0.066382,0.0866739
165,0.010685,0.0972102,0.0975323
166,0.0381505,0.0932656,0.0774644
167,0.0276318,0.0220725,0.0934068
168,0.0778666,0.0956397,0.0800594
169,0.0771607,0.0214514,0.0902955
170,0.0714899,0.0183105,0.0906618
171,0.115455,0.0802735,0.0707801
172,0.0826586,0.0197997,0.0840482
173,0.053233,0.0227175,0.0987731
174,0.0248849,0.0294228,0.0865617
175,0.120848,0.0470895,0.0761534
176,0.120333,0.0612911,0.0704496
177,0.120859,0.0734898,0.0760267
178,0.0448437,0.0985988,0.0838821
179,0.0911273,0.0951669,0.0770701
180,0.071041,0.0998689,0.083456
181,0.0178792,0.0351754,0.0973004
182,0.0987907,0.0318646,0.0817749
183,0.0915045,0.0207125,0.0923422
184,0.109416,0.0887501,0.0726782
185,0.0467409,0.100367,0.0905543
186,0.0372062,0.100526,0.0858465
187,0.0667175,0.0191598,0.0871996
188,0.0345591,0.0233766,0.0997832
189,0.0236988,0.0232003,0.099257
190,0.115196,0.0441308,0.0798636
191,0.0643367,0.0222218,0.0913207
192,0.0943844,0.0313339,0.088933
193,0.120694,0.0797181,0.0781442
194,0.0397952,0.0187712,0.099076
195,0.0906975,0.0252898,0.0859748
196,0.0151638,0.038722,0.0951527
197,0.11146,0.0382018,0.0790329
198,0.0878586,0.0175337,0.0966791
199,0.110201,0.0312534,0.0891417
200,0.128357,0.0534593,0.0841219
201,0.116101,0.0866891,0.0823801
202,0.025,0.0215117,0.101132
