vtx,x,y,z
0,0.0777447,0.232372,0.464275
1,0.0763149,0.23541,0.459445
2,0.0757547,0.228907,0.467856
3,0.0697109,0.229099,0.469525
4,0.0671718,0.22703,0.470892
5,0.0666475,0.232562,0.462522
6,0.0878254,0.230368,0.458962
7,0.0867611,0.23244,0.457415
8,0.0667846,0.233026,0.459631
9,0.0771028,0.23535,0.453107
10,0.0728795,0.221027,0.467783
11,0.0552728,0.218637,0.464157
12,0.0615007,0.223502,0.468561
13,0.0826657,0.224064,0.462095
14,0.0613578,0.220486,0.470031
15,0.0946743,0.23114,0.447411
16,0.0927564,0.226359,0.45263
17,0.0557164,0.22078,0.471858
18,0.09721,0.226644,0.451124
19,0.0620638,0.229413,0.455435
20,0.0865652,0.221345,0.46016
21,0.0536994,0.224268,0.458601
22,0.0539208,0.218314,0.472959
23,0.0786147,0.216824,0.467315
24,0.0508879,0.225181,0.45123
25,0.0665906,0.228738,0.449037
26,0.0879163,0.23064,0.44348
27,0.0699429,0.207752,0.476675
28,0.0506828,0.216609,0.463144
29,0.0699936,0.21157,0.472261
30,0.091476,0.215411,0.461314
31,0.0835531,0.208383,0.469963
32,0.102837,0.217238,0.455752
33,0.0992691,0.214672,0.461167
34,0.074877,0.231689,0.445201
35,0.0830144,0.230633,0.432032
36,0.0811938,0.232952,0.44695
37,0.0617233,0.211596,0.476301
38,0.0663398,0.227054,0.43014
39,0.0700175,0.201723,0.478448
40,0.0927704,0.206614,0.469311
41,0.0786329,0.230919,0.435232
42,0.0556172,0.2091,0.473806
43,0.108088,0.209484,0.443989
44,0.0841374,0.204683,0.474365
45,0.0480761,0.216902,0.457996
46,0.0920851,0.226003,0.436153
47,0.0455185,0.222401,0.450712
48,0.050129,0.214199,0.466888
49,0.0997714,0.220677,0.443335
50,0.100565,0.204786,0.462728
51,0.0438808,0.209808,0.459359
52,0.0789231,0.201222,0.476682
53,0.0442585,0.224394,0.440319
54,0.0387613,0.224724,0.434917
55,0.091893,0.198002,0.470893
56,0.0727393,0.228107,0.428051
57,0.104036,0.207416,0.458156
58,0.0736253,0.231455,0.41653
59,0.0746623,0.193183,0.475673
60,0.0576398,0.222565,0.422707
61,0.0571606,0.225006,0.434186
62,0.0386715,0.212357,0.44925
63,0.0710904,0.230883,0.416749
64,0.0641231,0.19721,0.478188
65,0.0498994,0.223443,0.442289
66,0.0481821,0.198028,0.467982
67,0.0332432,0.215927,0.440652
68,0.0513557,0.192772,0.471145
69,0.0797087,0.188205,0.470945
70,0.0449215,0.220532,0.43257
71,0.0328521,0.220838,0.435314
72,0.1073,0.210524,0.437787
73,0.0678769,0.222408,0.418437
74,0.068349,0.190886,0.473351
75,0.101515,0.216222,0.432468
76,0.0748281,0.186013,0.47164
77,0.101102,0.196753,0.457487
78,0.0510296,0.221101,0.430553
79,0.0443291,0.201408,0.462819
80,0.0380831,0.203386,0.453119
81,0.0550414,0.187261,0.472351
82,0.106475,0.209408,0.453326
83,0.0963394,0.219191,0.425427
84,0.0385137,0.195499,0.46751
85,0.0627343,0.187492,0.473886
86,0.0306972,0.197114,0.459071
87,0.0973283,0.193012,0.459953
88,0.0326627,0.192368,0.466966
89,0.111035,0.202923,0.441118
90,0.108402,0.217392,0.419586
91,0.0893652,0.1893,0.464537
92,0.0779128,0.229401,0.412086
93,0.0232574,0.188537,0.460301
94,0.0599765,0.194666,0.476883
95,0.102863,0.199529,0.452471
96,0.0690865,0.22791,0.412213
97,0.113687,0.213947,0.42313
98,0.0392805,0.215776,0.426655
99,0.0452955,0.185783,0.474934
100,0.071375,0.229602,0.409822
101,0.034083,0.218297,0.428599
102,0.0652458,0.219224,0.415418
103,0.0403993,0.189248,0.473193
104,0.122209,0.204704,0.426782
105,0.092746,0.21892,0.414368
106,0.0377531,0.186923,0.473363
107,0.0433767,0.215102,0.422825
108,0.108496,0.201375,0.446614
109,0.0697868,0.21772,0.399973
110,0.0564164,0.218958,0.412399
111,0.034025,0.202755,0.446381
112,0.103804,0.218826,0.414735
113,0.0604092,0.180914,0.471298
114,0.105948,0.190574,0.447414
115,0.0329532,0.210628,0.425441
116,0.0686302,0.218324,0.410515
117,0.0510389,0.173332,0.478135
118,0.112086,0.198086,0.44239
119,0.0448513,0.215459,0.416274
120,0.123625,0.196575,0.43115
121,0.0288086,0.206529,0.437184
122,0.0288491,0.199229,0.440626
123,0.0195356,0.190512,0.451706
124,0.103246,0.189711,0.450843
125,0.122184,0.20788,0.412724
126,0.0385996,0.208084,0.424395
127,0.0881679,0.22297,0.419009
128,0.0304162,0.213386,0.429963
129,0.115559,0.212146,0.414293
130,0.026845,0.181253,0.469155
131,0.0316905,0.177923,0.472054
132,0.0837453,0.173313,0.464729
133,0.0984774,0.177231,0.45583
134,0.0739563,0.221313,0.401975
135,0.118327,0.208719,0.398373
136,0.0440198,0.176025,0.480075
137,0.0508832,0.213626,0.410331
138,0.081044,0.220845,0.404394
139,0.099574,0.215793,0.400149
140,0.0656654,0.215111,0.406043
141,0.0385398,0.206406,0.42008
142,0.0389465,0.174884,0.477182
143,0.0285592,0.207352,0.422875
144,0.0559409,0.214674,0.404477
145,0.0385057,0.208228,0.410658
146,0.0883228,0.215083,0.400718
147,0.0469106,0.164544,0.477937
148,0.0307342,0.20213,0.416138
149,0.0930734,0.21409,0.397274
150,0.0264303,0.169002,0.472552
151,0.0374881,0.163089,0.475244
