vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,-0.0189743,0.00758837,0.0252342,-0.0189743,0.00758837,0.0252342
1,0,0,0,-0.00990935,0.0273137,0.0207181,-0.00990935,0.0273137,0.0207181
2,0,0,0,-0.0189105,-0.00741135,0.0164321,-0.0189105,-0.00741135,0.0164321
3,0,0,0,-0.0037895,0.00436638,0.0152963,-0.0037895,0.00436638,0.0152963
4,0,0,0,-0.001606,-0.00744904,0.0414479,-0.001606,-0.00744904,0.0414479
5,0,0,0,0.000852121,0.00925953,0.0121266,0.000852121,0.00925953,0.0121266
6,0,0,0,-0.00857007,-0.000543824,0.00429635,-0.00857007,-0.000543824,0.00429635
7,0,0,0,-0.0086853,0.0068921,0.00669349,-0.0086853,0.0068921,0.00669349
8,0,0,0,0.00981186,0.0376393,0.022427,0.00981186,0.0376393,0.022427
9,0,0,0,-0.0145937,0.0799872,0.0324426,-0.0145937,0.0799872,0.0324426
10,0,0,0,-0.0378918,-0.0269798,0.0413729,-0.0378918,-0.0269798,0.0413729
11,0,0,0,0.0111038,0.0120783,0.0383933,0.0111038,0.0120783,0.0383933
12,0,0,0,0.00659066,0.00566197,0.0282192,0.00659066,0.00566197,0.0282192
13,0,0,0,-0.0335467,-0.0173735,0.0200145,-0.0335467,-0.0173735,0.0200145
14,0,0,0,-0.00683867,-0.0021673,0.0121661,-0.00683867,-0.0021673,0.0121661
15,0,0,0,-0.00850851,0.00894047,0.00257961,-0.00850851,0.00894047,0.00257961
16,0,0,0,-0.0328488,-0.00444458,0.0216136,-0.0328488,-0.00444458,0.0216136
17,0,0,0,0.0026558,0.0121153,0.0165772,0.0026558,0.0121153,0.0165772
18,0,0,0,-0.0276239,0.00989151,0.014988,-0.0276239,0.00989151,0.014988
19,0,0,0,0.0117973,0.0332423,0.0218366,0.0117973,0.0332423,0.0218366
20,0,0,0,-0.0375363,-0.00394517,0.0305333,-0.0375363,-0.00394517,0.0305333
21,0,0,0,0.029459,0.0290933,0.0989984,0.029459,0.0290933,0.0989984
22,0,0,0,0.00904511,0.00378897,0.0180542,0.00904511,0.00378897,0.0180542
23,0,0,0,-0.0277601,-0.00723557,0.0310568,-0.0277601,-0.00723557,0.0310568
24,0,0,0,0.00346909,0.0339634,0.0309833,0.00346909,0.0339634,0.0309833
25,0,0,0,0.011286,0.0980463,0.0501645,0.011286,0.0980463,0.0501645
26,0,0,0,-0.00806623,0.0209672,0.00587927,-0.00806623,0.0209672,0.00587927
27,0,0,0,-0.0170174,-0.00160832,0.0256761,-0.0170174,-0.00160832,0.0256761
28,0,0,0,0.0198023,0.0193651,0.0507495,0.0198023,0.0193651,0.0507495
29,0,0,0,-0.0290443,0.000142698,0.0375182,-0.0290443,0.000142698,0.0375182
30,0,0,0,-0.0331409,0.00244659,0.0422186,-0.0331409,0.00244659,0.0422186
31,0,0,0,-0.0151219,0.00340695,0.0203557,-0.0151219,0.00340695,0.0203557
32,0,0,0,-0.0312529,0.00668114,0.00848626,-0.0312529,0.00668114,0.00848626
33,0,0,0,-0.0290075,0.00118276,0.0313231,-0.0290075,0.00118276,0.0313231
34,0,0,0,0.00238619,0.0294312,0.0137326,0.00238619,0.0294312,0.0137326
35,0,0,0,-0.01133,0.0223083,0.00678753,-0.01133,0.0223083,0.00678753
36,0,0,0,-0.014209,0.0475241,0.0146992,-0.014209,0.0475241,0.0146992
37,0,0,0,-0.00332228,-0.00277096,0.0114829,-0.00332228,-0.00277096,0.0114829
38,0,0,0,0.00692185,0.0751287,0.0346271,0.00692185,0.0751287,0.0346271
39,0,0,0,-0.0140414,-0.0216048,0.0327899,-0.0140414,-0.0216048,0.0327899
40,0,0,0,-0.0219487,-0.00688031,0.0176525,-0.0219487,-0.00688031,0.0176525
41,0,0,0,-0.00260514,0.0698065,0.0439726,-0.00260514,0.0698065,0.0439726
42,0,0,0,0.0107024,-0.0122153,0.0267814,0.0107024,-0.0122153,0.0267814
43,0,0,0,-0.0515882,0.0120491,-0.00324879,-0.0515882,0.0120491,-0.00324879
44,0,0,0,-0.0112354,-0.00264374,0.0125954,-0.0112354,-0.00264374,0.0125954
45,0,0,0,0.0417578,0.0169191,0.0883309,0.0417578,0.0169191,0.0883309
46,0,0,0,-0.0416743,0.0504084,-0.00206381,-0.0416743,0.0504084,-0.00206381
47,0,0,0,0.0187537,0.022474,0.0628024,0.0187537,0.022474,0.0628024
48,0,0,0,0.0211807,0.000899064,0.0311825,0.0211807,0.000899064,0.0311825
49,0,0,0,-0.034818,0.0284269,-0.00562557,-0.034818,0.0284269,-0.00562557
