vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,-0.000755019,-0.013355,0.0344713,-0.000755019,-0.013355,0.0344713
1,0,0,0,0.00445345,0.0105421,0.0375958,0.00445345,0.0105421,0.0375958
2,0,0,0,-0.00651004,-0.0234758,0.0185597,-0.00651004,-0.0234758,0.0185597
3,0,0,0,0.00624598,-0.00574874,0.0156903,0.00624598,-0.00574874,0.0156903
4,0,0,0,0.0242664,-0.0280468,0.0264429,0.0242664,-0.0280468,0.0264429
5,0,0,0,0.00819414,0.00170022,0.013464,0.00819414,0.00170022,0.013464
6,0,0,0,-0.00563506,-0.00771838,0.00839701,-0.00563506,-0.00771838,0.00839701
7,0,0,0,-0.00393532,-0.00126487,0.0153022,-0.00393532,-0.00126487,0.0153022
8,0,0,0,0.0220354,0.0249951,0.0325368,0.0220354,0.0249951,0.0325368
9,0,0,0,0.00719564,0.0529018,0.0819972,0.00719564,0.0529018,0.0819972
10,0,0,0,-0.00751958,-0.0639452,0.039372,-0.00751958,-0.0639452,0.039372
11,0,0,0,0.0317909,-0.00407632,0.0275119,0.0317909,-0.00407632,0.0275119
12,0,0,0,0.0230851,-0.00698473,0.0199624,0.0230851,-0.00698473,0.0199624
13,0,0,0,-0.0197088,-0.0447373,0.0269589,-0.0197088,-0.0447373,0.0269589
14,0,0,0,0.00175561,-0.0110733,0.0111042,0.00175561,-0.0110733,0.0111042
15,0,0,0,-0.00724567,0.00338128,0.0141381,-0.00724567,0.00338128,0.0141381
16,0,0,0,-0.0184398,-0.0338283,0.0399287,-0.0184398,-0.0338283,0.0399287
17,0,0,0,0.0123728,0.00257879,0.0173328,0.0123728,0.00257879,0.0173328
18,0,0,0,-0.0201709,-0.0115716,0.0431188,-0.0201709,-0.0115716,0.0431188
19,0,0,0,0.0229314,0.0217534,0.0279241,0.0229314,0.0217534,0.0279241
20,0,0,0,-0.0183048,-0.0442477,0.0568669,-0.0183048,-0.0442477,0.0568669
21,0,0,0,0.0806888,-0.0101079,0.0679506,0.0806888,-0.0101079,0.0679506
22,0,0,0,0.0188368,-0.00323444,0.0103253,0.0188368,-0.00323444,0.0103253
23,0,0,0,-0.00571186,-0.039546,0.0420566,-0.00571186,-0.039546,0.0420566
24,0,0,0,0.0199255,0.0146356,0.0360479,0.0199255,0.0146356,0.0360479
25,0,0,0,0.0402506,0.0665967,0.0857951,0.0402506,0.0665967,0.0857951
26,0,0,0,-0.003954,0.0142393,0.0238572,-0.003954,0.0142393,0.0238572
27,0,0,0,0.00206119,-0.0305876,0.0394051,0.00206119,-0.0305876,0.0394051
28,0,0,0,0.0456629,-0.000534933,0.0353356,0.0456629,-0.000534933,0.0353356
29,0,0,0,-0.00188255,-0.0342158,0.052867,-0.00188255,-0.0342158,0.052867
30,0,0,0,-0.00203758,-0.050582,0.0873525,-0.00203758,-0.050582,0.0873525
