vtx,x,y,z
0,0.0519135,0.254441,0.466499
1,0.0471512,0.255214,0.463076
2,0.0536523,0.251723,0.470827
3,0.0497566,0.250321,0.475575
4,0.0493997,0.247991,0.478249
5,0.0425284,0.250279,0.471249
6,0.0579678,0.254433,0.456553
7,0.0554891,0.255464,0.455722
8,0.0410429,0.249867,0.468741
9,0.0447452,0.253482,0.45738
10,0.0549407,0.243637,0.472883
11,0.0409432,0.234375,0.479859
12,0.0455774,0.242182,0.479709
13,0.0583293,0.247993,0.462501
14,0.047525,0.239871,0.481201
15,0.0572824,0.25388,0.443094
16,0.0604479,0.250561,0.448843
17,0.0439991,0.238755,0.485845
18,0.0629822,0.251854,0.445073
19,0.0370867,0.243711,0.468142
20,0.0615768,0.246283,0.458907
21,0.0345813,0.237178,0.475768
22,0.0442638,0.236275,0.487919
23,0.0609577,0.241697,0.469573
24,0.028535,0.234776,0.471184
25,0.0377764,0.242712,0.46036
26,0.0504728,0.249956,0.443684
27,0.0628827,0.233424,0.482771
28,0.037894,0.230683,0.481717
29,0.0591162,0.235526,0.47883
30,0.0685073,0.242983,0.457525
31,0.0697447,0.23661,0.469591
32,0.0736635,0.24674,0.446417
33,0.0746874,0.244897,0.453082
34,0.0409184,0.247006,0.452341
35,0.0412878,0.244752,0.436968
36,0.0459921,0.250826,0.450154
37,0.0547574,0.233939,0.48678
38,0.0293663,0.2353,0.444997
39,0.06648,0.228604,0.484605
40,0.0772357,0.237958,0.464024
41,0.0393636,0.244508,0.442047
42,0.0500607,0.228882,0.488286
43,0.0754414,0.237977,0.434304
44,0.0739371,0.234821,0.473162
45,0.0333412,0.228489,0.478895
46,0.0522037,0.244962,0.435626
47,0.0254742,0.230296,0.473936
48,0.0403356,0.229477,0.485283
49,0.063854,0.245,0.437626
50,0.080829,0.236958,0.454329
51,0.0339918,0.221134,0.482836
52,0.0726279,0.230654,0.47822
53,0.0186827,0.228479,0.465929
54,0.0118113,0.225271,0.464534
55,0.0811669,0.230441,0.466408
56,0.0327473,0.237781,0.439616
57,0.080102,0.239086,0.448419
58,0.0264704,0.237495,0.429363
59,0.0725116,0.221734,0.480302
60,0.0212551,0.226057,0.444016
61,0.0252589,0.231572,0.453606
62,0.0241075,0.218553,0.477216
63,0.0249123,0.236204,0.430996
64,0.0639082,0.222493,0.487979
65,0.0243169,0.230167,0.464466
66,0.0466204,0.214702,0.488355
67,0.0143187,0.217276,0.47292
68,0.0528777,0.212051,0.489559
69,0.0763241,0.217588,0.473915
70,0.0172308,0.222914,0.459414
71,0.00927788,0.219921,0.46842
72,0.0714021,0.236756,0.429563
73,0.0270602,0.228096,0.43479
74,0.0676498,0.216839,0.482053
75,0.0619499,0.238279,0.428008
76,0.0739363,0.214186,0.477362
77,0.0823043,0.228377,0.450247
78,0.0206416,0.224888,0.454294
79,0.0397352,0.214834,0.486006
80,0.029518,0.211519,0.481337
81,0.0587135,0.208764,0.488874
82,0.0787505,0.240208,0.442918
83,0.0533503,0.237024,0.424886
84,0.040205,0.208975,0.493516
85,0.0651663,0.212059,0.485851
86,0.029567,0.205182,0.490786
87,0.082291,0.224519,0.454656
88,0.0369287,0.204014,0.496531
89,0.0791908,0.232236,0.430757
90,0.0604977,0.237727,0.413449
91,0.0801071,0.219909,0.46315
92,0.0285334,0.235745,0.423463
93,0.0283916,0.195367,0.496511
94,0.0612848,0.218419,0.489381
95,0.0799916,0.229924,0.444925
96,0.022584,0.231504,0.428581
97,0.0677269,0.237514,0.413671
98,0.0122718,0.214966,0.458001
99,0.0532168,0.204879,0.496529
100,0.0224342,0.23305,0.425215
101,0.00814403,0.216039,0.462353
102,0.0250533,0.22344,0.433977
103,0.0471304,0.205763,0.497583
104,0.0800218,0.233224,0.412586
105,0.0455087,0.232155,0.417799
106,0.0462561,0.202838,0.49935
107,0.0138399,0.214589,0.452583
108,0.0806072,0.23167,0.436804
109,0.0218582,0.218925,0.418778
110,0.0170325,0.219293,0.436416
111,0.0235322,0.207521,0.478074
112,0.0540734,0.235958,0.411917
113,0.0651278,0.204622,0.485445
114,0.0838833,0.221443,0.439639
115,0.00920586,0.207845,0.460876
116,0.0257029,0.222286,0.428102
117,0.0646725,0.196722,0.496815
118,0.0827472,0.228661,0.431548
119,0.0116675,0.213422,0.446317
120,0.0867813,0.227785,0.415963
121,0.0135237,0.206322,0.473146
122,0.018468,0.200857,0.476439
123,0.0206192,0.193249,0.491358
124,0.0838865,0.220808,0.444043
125,0.0719414,0.23181,0.400782
126,0.0141124,0.207172,0.45701
127,0.0424289,0.235633,0.423893
128,0.00822258,0.210818,0.465848
129,0.0657589,0.233849,0.405465
130,0.0385728,0.192787,0.502305
131,0.045103,0.19236,0.502223
132,0.0831125,0.203826,0.467541
133,0.0882511,0.209611,0.451679
134,0.0243687,0.224139,0.417878
135,0.0618752,0.22691,0.391018
136,0.0590666,0.1973,0.502137
137,0.0142309,0.21203,0.438151
138,0.0310877,0.226841,0.415971
139,0.0453415,0.227354,0.40246
140,0.0227616,0.217052,0.426267
141,0.0127522,0.204339,0.453588
142,0.0543763,0.193682,0.502632
143,0.00612174,0.202629,0.461431
144,0.014825,0.212897,0.430411
145,0.00740751,0.203088,0.445693
146,0.0374277,0.223062,0.409263
147,0.0654057,0.187433,0.499529
148,0.00687535,0.19665,0.454978
149,0.0398353,0.222752,0.403833
150,0.0453848,0.182776,0.506144
151,0.0576629,0.182112,0.502623
152,0.0865873,0.20928,0.439336
153,0.0924518,0.219081,0.421934
154,0.0537009,0.228594,0.399618
155,0.0307811,0.183029,0.502398
156,0.0889851,0.196931,0.455688
157,0.0677436,0.189429,0.496832
158,0.0142462,0.195671,0.472349
159,0.0223479,0.214784,0.421322
160,0.0502538,0.185509,0.501337
161,0.0735482,0.184015,0.483827
162,0.0722416,0.191898,0.483555
163,0.0321969,0.217259,0.407711
164,0.031991,0.187714,0.503346
165,0.0639731,0.174492,0.499927
166,0.0719564,0.199518,0.478196
167,0.000987832,0.193763,0.460543
168,0.0882694,0.203853,0.442321
169,0.01856,0.205934,0.416023
170,0.0135778,0.205066,0.420039
171,0.0883432,0.222137,0.405156
172,0.0195779,0.213263,0.411878
173,0.0103107,0.193085,0.436248
174,0.00743077,0.198692,0.467008
175,0.0591904,0.223357,0.388048
176,0.0726141,0.226435,0.394505
177,0.083552,0.219163,0.396814
178,0.0787644,0.19364,0.472449
179,0.092832,0.209233,0.430782
180,0.0894414,0.198621,0.449157
181,0.00929097,0.18602,0.472846
182,0.0367186,0.216409,0.401766
183,0.0228579,0.206684,0.402299
184,0.0938348,0.217834,0.41302
185,0.0805275,0.187217,0.469795
186,0.0776076,0.190035,0.479579
187,0.0129382,0.20742,0.425423
188,0.00410657,0.188597,0.453218
189,9.60085e-05,0.187205,0.46318
190,0.0540985,0.219236,0.39137
191,0.0145333,0.202474,0.427683
192,0.0339969,0.208765,0.403982
193,0.0890509,0.216078,0.398543
194,0.00178932,0.19099,0.447086
195,0.0273631,0.211942,0.405981
196,0.0117881,0.187018,0.476956
