f,i0,i1,i2
0,1674,4682,6000
1,2793,5133,6224
2,2869,737,2870
3,4111,4618,5775
4,1416,2257,3911
5,6078,328,6671
6,406,2263,2306
7,448,458,476
8,476,458,2442
9,3971,2275,5721
10,3970,3971,5721
11,3615,4495,5511
12,5508,3615,5511
13,3239,3251,3252
14,1737,4145,4707
15,2754,1457,7810
16,1575,18,1577
17,3511,1027,6612
18,1055,1066,3552
19,2209,2213,2230
20,3753,5933,6085
21,125,129,1715
22,2412,2420,6147
23,3243,7775,7776
24,5469,5470,6403
25,1357,1284,3979
26,3416,3426,6610
27,3992,4027,6562
28,3266,3248,4401
29,1519,1512,7000
30,1512,6999,7000
31,1342,1283,4046
32,3007,2980,5207
33,2373,464,6866
34,3258,3270,4399
35,562,598,2591
36,2554,562,2591
37,3784,1132,5939
38,3103,860,3124
39,2384,2383,4238
40,5479,5454,7071
41,1210,1195,5641
42,2991,3636,4340
43,1697,92,1699
44,1078,1085,6440
45,1085,5508,6440
46,4291,2747,5820
47,4291,5820,6590
48,2300,392,2301
49,3305,5337,6342
50,4363,3089,4364
51,3305,3288,5334
52,2756,2744,5096
53,3541,1048,3542
54,3053,4367,5852
55,441,2327,2331
56,3381,970,3404
57,723,710,2904
58,486,4015,4250
59,6676,2220,6917
60,55,1618,1651
61,1618,55,4129
62,131,1780,1781
63,78,1628,1639
64,4221,2249,6114
65,4873,2171,4876
66,1278,1500,4083
67,3536,1047,5471
68,1775,1504,2955
69,3311,3293,5342
70,863,849,3120
71,4679,5994,5997
72,1004,3433,3434
73,513,490,2382
74,490,513,4991
75,3453,3481,4451
76,1978,248,2008
77,3913,1194,6524
78,3417,6378,6380
79,2631,2632,5046
80,1172,6043,6655
81,1806,1821,4153
82,3775,1806,4153
83,4547,6470,6848
84,2170,2212,2213
85,1436,440,7754
86,1870,4166,4769
87,519,1496,1499
88,1549,1548,1550
89,2984,787,2993
90,2565,530,2573
91,2398,468,2446
92,2446,468,4985
93,282,292,2071
94,2054,323,4841
95,439,2357,2390
96,4601,1239,4913
97,2048,2083,2084
98,1331,2421,4241
99,4915,423,4938
100,1246,4041,5739
101,1782,171,4149
102,1499,2920,5169
103,2396,2377,7014
104,2473,4989,5002
105,2607,2606,7025
106,465,462,1410
107,162,186,1826
108,1476,1482,5967
109,1660,80,4685
110,519,503,1496
111,2118,331,2138
112,535,6158,6169
113,582,1306,2611
114,812,798,2998
115,1363,831,1376
116,4379,5854,6603
117,2809,3700,3996
118,2073,297,4191
119,1677,88,1682
120,912,3209,3210
121,1297,211,6035
122,2383,1417,5802
123,4238,2383,5802
124,33,32,1460
125,32,33,1587
126,3705,3676,4530
127,127,1360,1381
128,344,347,1400
129,263,1968,2024
130,4146,1756,4148
131,1230,4041,4106
132,4041,1230,6552
133,239,4188,4795
134,2667,2714,2741
135,852,6959,7034
136,141,126,1752
137,2204,1350,7010
138,2106,2098,4851
139,435,450,2342
140,875,1578,3163
141,5242,6762,6763
142,3427,4442,5406
143,3664,4512,6839
144,161,1503,1831
145,1262,246,1985
146,2919,2877,7143
147,3571,1060,3572
148,1951,4793,6051
149,5869,3253,6192
150,389,387,2204
151,2628,2706,4282
152,4606,4044,5955
153,4374,3178,5283
154,569,593,5020
155,1327,1273,4021
156,1260,1658,2616
157,6534,5704,6539
158,5682,3903,6528
159,2179,2227,2228
160,4728,1428,6015
161,5465,1073,5468
162,5220,6771,6960
163,3824,3828,6662
164,685,692,2855
165,2851,685,2855
166,974,967,3393
167,51,1608,1609
168,1112,3635,5498
169,1318,278,2066
170,6847,4546,6851
171,1337,1079,5520
172,3618,1082,3632
173,3355,968,5386
174,6334,5320,6790
175,6886,6584,7810
176,328,2127,6079
177,452,505,2391
178,398,425,431
179,431,425,2339
180,315,289,4849
181,2385,3934,4239
182,1199,3885,5667
183,5665,1199,5667
184,1547,1542,4638
185,1547,4638,5975
186,29,4120,5985
187,201,4778,6038
188,3550,3542,6416
189,5473,3550,6416
190,2361,2413,4961
191,3004,3003,5205
192,4740,172,4765
193,4765,172,6020
194,6099,340,6675
195,6675,340,6677
196,767,744,777
197,777,744,6529
198,2809,3696,4527
199,2906,2905,5162
200,5553,4531,6467
201,3794,4554,5589
202,6399,1031,6812
203,1413,6402,6616
204,396,399,2294
205,162,1500,1503
206,353,2165,4872
207,4098,1228,4102
208,2918,2960,5184
209,3118,5853,6602
210,671,2758,6944
211,5933,5573,6085
212,1412,1491,3863
213,3689,3660,3690
214,499,2473,6936
215,686,2752,5124
216,426,442,2304
217,442,426,3899
218,656,635,1439
219,635,656,2724
220,1798,1805,4152
221,1155,5582,6476
222,4708,1729,6880
223,5956,1242,5957
224,2685,650,7081
225,1257,3091,3192
226,3168,879,7040
227,384,2270,2299
228,1564,18,3872
229,18,1564,4058
230,822,819,3046
231,30,1552,1563
232,382,359,2176
233,359,382,2217
234,2382,483,2414
235,2642,2657,6586
236,121,1693,1754
237,4841,323,4856
238,4133,57,4670
239,57,4133,4679
240,628,2643,2696
241,2635,4275,5048
242,2471,2483,4252
243,66,68,1619
244,819,822,3065
245,61,1567,1628
246,1365,246,2031
247,3756,3757,5942
248,458,2395,2396
249,730,2927,2929
250,388,2279,2280
251,462,465,2415
252,465,467,2415
253,707,2756,5096
254,3421,985,3425
255,6628,1538,6895
256,2877,2919,2926
257,1780,4724,4743
258,4972,471,6136
259,987,978,4439
260,1865,1887,4778
261,3001,797,5214
262,6937,536,7023
263,1196,1456,3921
264,5646,1186,5678
265,5678,1186,6525
266,1358,1363,3974
267,3923,3922,4589
268,3566,3570,5483
269,2177,307,6349
270,164,130,1710
271,3279,938,7041
272,938,3316,7041
273,5284,3158,6301
274,3444,3377,6116
275,2724,656,2730
276,3757,3756,5575
277,3304,3305,6342
278,458,2396,2422
279,2990,3193,5294
280,1183,5632,6499
281,4024,340,4888
282,4888,340,6099
283,6701,4428,6928
284,2906,758,6753
285,3935,4592,5698
286,632,4282,5067
287,5024,5019,6171
288,2792,712,2845
289,4681,101,5999
290,2347,2432,5805
291,1718,136,2392
292,786,2890,2935
293,1550,1548,5977
294,2422,2396,6690
295,1310,2178,2317
296,414,391,1449
297,391,414,2283
298,3067,3111,5252
299,3508,776,5174
300,1161,5603,6490
301,3943,1209,6538
302,952,1276,3299
303,669,2680,2715
304,3414,3415,4437
305,6017,163,6647
306,2694,2659,5062
307,1154,4568,5601
308,4569,1154,5601
309,5227,6279,6758
310,857,5262,6761
311,1373,1492,3697
312,4006,2417,6919
313,3531,1037,4459
314,1275,5579,6474
315,577,4264,7083
316,2896,2950,2951
317,5412,6377,6803
318,2859,734,5155
319,1571,46,4130
320,7029,638,7065
321,4003,5712,5736
322,2489,2432,6133
323,5600,4570,6488
324,767,2918,7504
325,2336,2358,6131
326,4020,2691,6012
327,6639,4060,6901
328,1828,4742,6021
329,965,6146,6700
330,3929,6397,6811
331,7092,373,7099
332,2517,546,2528
333,309,310,2131
334,500,514,2506
335,208,1844,4752
336,2190,4880,4884
337,735,2833,5131
338,3255,3238,4398
339,3288,5338,5872
340,495,2448,2449
341,6716,6720,6939
342,5814,7073,7089
343,4443,985,5886
344,5814,7050,7073
345,4008,3998,5737
346,3406,976,4109
347,1755,139,1762
348,5276,3167,7040
349,2750,2770,2773
350,734,2922,2935
351,6775,4329,6962
352,7036,858,7037
353,858,7036,7069
354,4044,2399,5955
355,2399,4957,5955
356,5902,1050,6616
357,3360,1342,4046
358,3547,3551,4472
359,6098,4888,6099
360,617,7026,7064
361,7621,1412,7624
362,1749,1767,6018
363,6291,3058,6954
364,3306,3307,5339
365,2736,665,2740
366,3773,1148,6621
367,4615,38,5960
368,38,4645,5960
369,64,1596,1611
370,4114,8,4623
371,6294,851,6601
372,918,7772,7773
373,7772,918,7774
374,1754,174,2652
375,4342,2992,6268
376,2818,693,2828
377,693,2822,2828
378,2660,2661,5043
379,1716,129,4705
380,4880,332,4884
381,4884,332,5795
382,960,3349,5346
383,838,3098,4366
384,1887,1865,4764
385,6216,2806,6735
386,5941,3787,5945
387,531,527,564
388,4060,1730,4144
389,4200,296,4842
390,1001,6362,6797
391,24,47,1556
392,1556,47,1570
393,5824,722,6746
394,2750,657,2770
395,1663,1654,4686
396,6844,4531,6983
397,3591,1061,5491
398,3481,3480,5433
399,3184,3183,5287
400,1327,6257,6260
401,2547,582,2600
402,3427,3426,4442
403,3127,880,3133
404,742,743,765
405,765,743,1393
406,117,136,1785
407,136,117,2392
408,1649,94,3836
409,3836,94,4680
410,3882,1206,5669
411,1182,6872,6992
412,133,4154,4758
413,133,4758,6029
414,2108,317,2125
415,438,2243,7754
416,1006,2462,3482
417,991,3402,3423
418,6519,3847,6863
419,167,1799,1800
420,167,1800,5780
421,4437,4439,5397
422,145,1428,4728
423,2194,353,4212
424,3456,1001,6972
425,1343,1272,4031
426,3752,6084,6672
427,1949,217,1954
