vtx,x,y,z
0,0.0781936,0.10135,0.0584608
1,0.0779791,0.0954878,0.0580699
2,0.0753841,0.105603,0.0601456
3,0.0691173,0.105655,0.0598669
4,0.0663148,0.107251,0.0613545
5,0.0678349,0.0973707,0.0602282
6,0.089243,0.0998565,0.0615865
7,0.0885917,0.0973458,0.0605483
8,0.068666,0.0946969,0.0610856
9,0.0802657,0.0902383,0.0608641
10,0.072579,0.108549,0.0674711
11,0.0563384,0.102736,0.0730317
12,0.0613488,0.105648,0.0661234
13,0.0834489,0.104354,0.0663026
14,0.0608457,0.10827,0.0681724
15,0.0986236,0.0910441,0.0653539
16,0.0954978,0.097314,0.0674534
17,0.0549266,0.108515,0.0677058
18,0.100173,0.0968332,0.0674149
19,0.0650729,0.091733,0.0666313
20,0.0876817,0.104769,0.0691785
21,0.0561679,0.0950268,0.0706419
22,0.0529123,0.110208,0.0696016
23,0.078242,0.111302,0.0708294
24,0.0552164,0.0876336,0.0733743
25,0.0710021,0.0875105,0.0696018
26,0.0930063,0.0864477,0.0682201
27,0.0675706,0.121672,0.0756538
28,0.0521155,0.101801,0.0757493
29,0.0686789,0.116126,0.0741974
30,0.0921448,0.109511,0.07344
31,0.082382,0.118485,0.0766571
32,0.104483,0.106301,0.0731372
33,0.0997333,0.111377,0.0733754
34,0.0799742,0.084642,0.0678566
35,0.0909938,0.0755437,0.0737941
36,0.0856838,0.0869264,0.0653168
37,0.059682,0.117837,0.0732631
38,0.0752999,0.0719448,0.0794825
39,0.0672024,0.125965,0.0802312
40,0.0914781,0.120685,0.0775845
41,0.0859949,0.0772284,0.0725755
42,0.0543385,0.11551,0.0772233
43,0.112314,0.100791,0.0846865
44,0.0818964,0.124098,0.0779463
45,0.0508185,0.0966543,0.0780249
46,0.0987582,0.0831448,0.0751371
47,0.0501126,0.0872942,0.0766186
48,0.050674,0.106022,0.0763094
49,0.104466,0.0933874,0.0758936
50,0.100577,0.117482,0.0813416
51,0.0463942,0.100164,0.0841558
52,0.0762714,0.126564,0.0805417
53,0.0513939,0.0771314,0.0795783
54,0.0473524,0.0711155,0.0822513
55,0.0902168,0.125772,0.0846393
56,0.0820025,0.0710446,0.0788356
57,0.105029,0.113082,0.0806806
58,0.0856383,0.0597886,0.0808513
59,0.0723458,0.128431,0.0885841
60,0.0686371,0.0656695,0.0875853
61,0.0654163,0.0743724,0.0804279
62,0.0437677,0.089125,0.0868801
63,0.0831347,0.0596847,0.0815251
64,0.0615264,0.126533,0.084978
65,0.0563957,0.0804918,0.0789716
66,0.0484824,0.113918,0.0903866
67,0.0405797,0.0788837,0.0880796
68,0.0508007,0.119721,0.0933423
69,0.078351,0.127664,0.0945816
70,0.0538906,0.0723456,0.086344
71,0.0415011,0.0719455,0.0861462
72,0.113041,0.0948059,0.0865764
73,0.0795835,0.0642611,0.0886026
74,0.0667628,0.126117,0.0923019
75,0.108743,0.0864091,0.084452
76,0.0734469,0.128223,0.0967296
77,0.102299,0.116698,0.0907466
78,0.0603191,0.0716703,0.086105
79,0.0459825,0.107085,0.0900456
80,0.0422428,0.0964328,0.0931932
81,0.0540808,0.124053,0.0973367
82,0.108539,0.108535,0.0808054
83,0.105439,0.0778868,0.0854466
84,0.0392132,0.112596,0.093832
85,0.0611805,0.126921,0.0956672
86,0.0336392,0.102875,0.0969056
87,0.0980467,0.119718,0.0933629
88,0.0336564,0.112296,0.0974677
89,0.115825,0.101907,0.0914758
90,0.118546,0.0762628,0.088324
91,0.0892307,0.123666,0.0954425
92,0.0908367,0.0578151,0.0841567
93,0.0261125,0.106239,0.104787
94,0.0578052,0.125674,0.0882511
95,0.105201,0.111484,0.0903193
96,0.0822719,0.0566765,0.086359
97,0.122792,0.0820164,0.0892816
98,0.0498157,0.068164,0.0937489
99,0.0440122,0.124883,0.0985238
100,0.085062,0.0543484,0.085668
101,0.0443089,0.0675743,0.0912114
102,0.0777468,0.0625128,0.0929982
103,0.0396802,0.120761,0.096712
104,0.130114,0.091176,0.0950151
105,0.104643,0.0676868,0.0909039
106,0.0370671,0.121401,0.0989931
107,0.0547216,0.0660411,0.0955906
108,0.112051,0.106796,0.0906905
109,0.0858952,0.0507981,0.100608
110,0.0699159,0.0580965,0.0954063
111,0.0399155,0.0900092,0.0971387
112,0.11528,0.0704331,0.0896516
113,0.0595261,0.127157,0.102892
114,0.109356,0.111809,0.100195
115,0.0439409,0.0680761,0.0995042
116,0.0822138,0.0594095,0.095614
117,0.0488017,0.134518,0.107619
118,0.11652,0.105406,0.0951063
119,0.0577346,0.0605196,0.0979708
120,0.130386,0.0989019,0.100187
121,0.0370748,0.0792024,0.0983956
122,0.0362683,0.0855132,0.103335
123,0.0245616,0.0970968,0.107186
124,0.105924,0.114588,0.099726
125,0.133562,0.0776251,0.0983153
126,0.0496684,0.0695375,0.101614
127,0.0990763,0.0688946,0.0857566
128,0.0403999,0.0701882,0.0953419
129,0.126772,0.0756053,0.0945341
130,0.0274691,0.117977,0.107024
131,0.0314774,0.12303,0.108216
132,0.0836974,0.129855,0.110155
133,0.100086,0.123503,0.109093
134,0.0894515,0.0518414,0.0961302
135,0.133375,0.0639943,0.104246
136,0.0415345,0.133481,0.105103
137,0.0650133,0.0574895,0.101595
138,0.0957205,0.0556884,0.0947542
139,0.114741,0.0582627,0.0991481
140,0.0804086,0.0563247,0.100687
141,0.050641,0.0665332,0.104987
142,0.0372944,0.130402,0.107921
143,0.0402759,0.0663904,0.103966
144,0.071349,0.0530404,0.102709
145,0.0528796,0.0575267,0.107471
146,0.103679,0.0566475,0.100718
147,0.0448184,0.137435,0.115978
148,0.0439851,0.0633725,0.111303
149,0.10913,0.0551347,0.102605
150,0.0262448,0.12636,0.116518
151,0.0363075,0.133734,0.119435
152,0.108112,0.114541,0.112265
153,0.127198,0.107617,0.107757
154,0.122344,0.0629047,0.0996103
155,0.0200195,0.11263,0.115501
156,0.0942748,0.127427,0.120376
157,0.0487911,0.137411,0.11499
158,0.0353575,0.0800277,0.108814
159,0.083242,0.0530447,0.104
160,0.0335383,0.12694,0.115617
161,0.0605701,0.134067,0.124061
162,0.0620286,0.132352,0.116398
163,0.100098,0.0519897,0.106055
164,0.0212872,0.113856,0.110896
165,0.040218,0.137431,0.128171
166,0.0677896,0.128232,0.110373
167,0.0354724,0.0624669,0.112034
168,0.105525,0.118069,0.116934
169,0.0825457,0.0473504,0.113273
170,0.0762513,0.0460655,0.112545
171,0.13794,0.0937621,0.108435
172,0.0881481,0.0450651,0.107403
173,0.0590857,0.0545192,0.119622
174,0.0359119,0.0711634,0.106491
175,0.13301,0.0602749,0.108084
176,0.137281,0.0745792,0.105085
177,0.140426,0.0850215,0.112792
178,0.0747259,0.130276,0.118221
179,0.118301,0.114072,0.115121
180,0.0998208,0.123589,0.120414
181,0.029438,0.0771445,0.117342
182,0.107103,0.0518263,0.108836
183,0.0956092,0.0420319,0.116381
184,0.134355,0.103226,0.111292
185,0.0760921,0.130395,0.125249
186,0.0678096,0.134119,0.119793
187,0.0724633,0.0488008,0.108935
188,0.0414935,0.0606633,0.119064
189,0.0312668,0.0638686,0.117569
190,0.126327,0.0586508,0.110663
191,0.0704943,0.0517809,0.113286
192,0.101798,0.0516039,0.115299
193,0.141724,0.0905917,0.115973
194,0.0452343,0.0548647,0.117987
195,0.0970192,0.0475007,0.110988
196,0.0281808,0.0816034,0.115662
197,0.121241,0.0543485,0.108439
198,0.0906672,0.0395104,0.119671
199,0.116706,0.0467187,0.116881
200,0.140811,0.0628086,0.117665
201,0.138755,0.097868,0.120967
202,0.0317537,0.0616206,0.1192
203,0.0251716,0.127208,0.122048
204,0.0864976,0.0385803,0.125866
205,0.105574,0.118347,0.123084
206,0.0292202,0.12964,0.128308
207,0.0173482,0.0907705,0.126444
208,0.0170594,0.0976766,0.122004
209,0.133287,0.105128,0.116976
210,0.0364097,0.0565877,0.1274
211,0.123475,0.0473487,0.120909
212,0.114988,0.113678,0.126808
213,0.034517,0.060097,0.125751
214,0.14136,0.0764704,0.120439
215,0.0784445,0.0343589,0.127972
216,0.131966,0.0572835,0.117533
217,0.0233266,0.12473,0.12975
218,0.123371,0.11157,0.126416
219,0.106503,0.0478583,0.121463
220,0.0316614,0.132217,0.129844
221,0.143078,0.0857247,0.123555
222,0.0510529,0.136426,0.129314
223,0.0513958,0.0529873,0.120917
224,0.121953,0.0460331,0.128096
225,0.0372461,0.04963,0.12977
226,0.100283,0.0433193,0.118406
227,0.0655052,0.133522,0.126692
228,0.0309913,0.0633682,0.125305
229,0.0227265,0.0817042,0.128899
230,0.0158747,0.0897641,0.133947
231,0.0213504,0.119757,0.136032
232,0.0651012,0.0519694,0.118652
233,0.027578,0.126722,0.137756
234,0.0288448,0.0725697,0.123034
235,0.138366,0.0615342,0.123853
236,0.0758747,0.0367547,0.125867
237,0.0141045,0.0998202,0.133609
238,0.0146256,0.104529,0.135749
239,0.040046,0.136322,0.134326
240,0.071767,0.0434792,0.127014
241,0.134344,0.100339,0.131217
242,0.117693,0.108701,0.137893
243,0.132333,0.0514532,0.130339
244,0.127478,0.0483415,0.124174
245,0.141909,0.0793105,0.130499
246,0.0143264,0.0958116,0.140977
247,0.138168,0.093138,0.132356
248,0.0684208,0.0460558,0.129908
249,0.0581998,0.132067,0.139483
250,0.0153607,0.10546,0.141842
251,0.0950572,0.0386003,0.130073
252,0.12706,0.0470807,0.129497
253,0.035424,0.131329,0.142182
254,0.0917912,0.0371797,0.133676
255,0.0974932,0.12427,0.13569
256,0.105617,0.11649,0.135297
257,0.0920927,0.128116,0.143037
258,0.0592952,0.0534687,0.124539
259,0.0318104,0.126114,0.146145
260,0.0315345,0.0590063,0.138861
261,0.137229,0.0594811,0.131421
262,0.100732,0.123375,0.142445
263,0.106479,0.046974,0.127014
264,0.023584,0.117075,0.146772
265,0.0548854,0.0482245,0.138295
266,0.0918588,0.127618,0.136561
267,0.0449126,0.0459073,0.13303
268,0.0764843,0.0346103,0.132328
269,0.0635944,0.0469881,0.138292
270,0.0293056,0.0678381,0.136854
271,0.0226186,0.078657,0.142632
272,0.076798,0.128195,0.138817
273,0.138937,0.0849062,0.136348
274,0.0704676,0.127623,0.139243
275,0.101686,0.0423286,0.133694
276,0.0482655,0.127123,0.15236
277,0.0423858,0.0457128,0.140088
278,0.0746761,0.0421444,0.133635
279,0.0199311,0.0838388,0.14732
280,0.0334892,0.0509565,0.140313
281,0.107572,0.0453003,0.140053
282,0.118152,0.0467373,0.135554
283,0.0850437,0.0322141,0.133849
284,0.108656,0.0478723,0.135
285,0.0281759,0.0638946,0.144958
286,0.111865,0.0492305,0.141959
287,0.0186926,0.106556,0.147351
288,0.13296,0.0753649,0.147461
289,0.132082,0.092361,0.14487
290,0.0614703,0.128269,0.148922
291,0.0274201,0.0745476,0.140502
292,0.121825,0.0479673,0.138041
293,0.134349,0.0571517,0.137173
294,0.115346,0.110928,0.141441
295,0.0986843,0.0370952,0.139397
296,0.0268319,0.079912,0.151737
297,0.13047,0.0499387,0.134292
298,0.137331,0.0685787,0.138491
299,0.0392191,0.04667,0.138542
