vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,-0.0251104,0.00309279,0.0204773,-0.0251104,0.00309279,0.0204773
1,0,0,0,-0.00963167,0.0143287,0.031591,-0.00963167,0.0143287,0.031591
2,0,0,0,-0.0256663,-0.00251736,0.00461085,-0.0256663,-0.00251736,0.00461085
3,0,0,0,-0.00908979,-0.00192784,0.0116335,-0.00908979,-0.00192784,0.0116335
4,0,0,0,-0.0195192,-0.02031,0.0219378,-0.0195192,-0.02031,0.0219378
5,0,0,0,-0.00322469,0.000275743,0.0135865,-0.00322469,0.000275743,0.0135865
6,0,0,0,-0.0124662,0.0025544,0.00148426,-0.0124662,0.0025544,0.00148426
7,0,0,0,-0.0107512,0.00689473,0.00865443,-0.0107512,0.00689473,0.00865443
8,0,0,0,0.00918147,0.00941232,0.0392035,0.00918147,0.00941232,0.0392035
9,0,0,0,0.000145216,0.0487096,0.0750772,0.000145216,0.0487096,0.0750772
10,0,0,0,-0.0513298,-0.0155113,0.00788099,-0.0513298,-0.0155113,0.00788099
11,0,0,0,-0.00395163,-0.0140416,0.03272,-0.00395163,-0.0140416,0.03272
12,0,0,0,-0.00563623,-0.0108903,0.0211219,-0.00563623,-0.0108903,0.0211219
13,0,0,0,-0.0449781,-0.00363797,-0.000349291,-0.0449781,-0.00363797,-0.000349291
14,0,0,0,-0.0117132,-0.00278928,0.0053587,-0.0117132,-0.00278928,0.0053587
15,0,0,0,-0.00850758,0.0115513,0.00730355,-0.00850758,0.0115513,0.00730355
16,0,0,0,-0.048248,0.00471501,0.0116672,-0.048248,0.00471501,0.0116672
17,0,0,0,-0.00251511,-0.000754532,0.0169576,-0.00251511,-0.000754532,0.0169576
18,0,0,0,-0.0360341,0.0189593,0.0182565,-0.0360341,0.0189593,0.0182565
19,0,0,0,0.00940588,0.00579646,0.0356011,0.00940588,0.00579646,0.0356011
20,0,0,0,-0.0541748,0.00301592,0.0186593,-0.0541748,0.00301592,0.0186593
21,0,0,0,-0.00641806,-0.0388553,0.0861453,-0.00641806,-0.0388553,0.0861453
22,0,0,0,-0.000913294,-0.00920355,0.0142087,-0.000913294,-0.00920355,0.0142087
23,0,0,0,-0.0362243,-0.00446181,0.0137322,-0.0362243,-0.00446181,0.0137322
24,0,0,0,0.000177136,0.00624144,0.0418594,0.000177136,0.00624144,0.0418594
25,0,0,0,0.0212196,0.0362007,0.0981884,0.0212196,0.0362007,0.0981884
26,0,0,0,-0.0042368,0.0183444,0.0186066,-0.0042368,0.0183444,0.0186066
27,0,0,0,-0.0293993,-0.005298,0.0169238,-0.0293993,-0.005298,0.0169238
28,0,0,0,0.000398361,-0.0191929,0.0462338,0.000398361,-0.0191929,0.0462338
29,0,0,0,-0.0368589,-0.00197173,0.0222274,-0.0368589,-0.00197173,0.0222274
30,0,0,0,-0.0590197,-0.00178667,0.0394248,-0.0590197,-0.00178667,0.0394248
31,0,0,0,-0.0251162,0.000910543,0.0183512,-0.0251162,0.000910543,0.0183512
32,0,0,0,-0.0467154,0.0277028,0.0107884,-0.0467154,0.0277028,0.0107884
33,0,0,0,-0.0594529,0.00232562,0.0313927,-0.0594529,0.00232562,0.0313927
34,0,0,0,0.00488707,0.0130954,0.029824,0.00488707,0.0130954,0.029824
35,0,0,0,-0.00716541,0.0213124,0.020112,-0.00716541,0.0213124,0.020112
36,0,0,0,-0.00354756,0.0354002,0.0415782,-0.00354756,0.0354002,0.0415782
37,0,0,0,-0.00980841,-0.00492347,0.00543419,-0.00980841,-0.00492347,0.00543419
38,0,0,0,0.0183694,0.0343888,0.0792696,0.0183694,0.0343888,0.0792696
39,0,0,0,-0.0452944,-0.0307761,0.0109798,-0.0452944,-0.0307761,0.0109798
40,0,0,0,-0.0363899,-0.00185589,0.00813906,-0.0363899,-0.00185589,0.00813906
41,0,0,0,0.0035645,0.031471,0.0846392,0.0035645,0.031471,0.0846392
42,0,0,0,-0.00815572,-0.0251808,0.0124246,-0.00815572,-0.0251808,0.0124246
43,0,0,0,-0.0641699,0.0624953,-0.00105566,-0.0641699,0.0624953,-0.00105566
44,0,0,0,-0.023757,-0.0027841,0.00810961,-0.023757,-0.0027841,0.00810961
45,0,0,0,0.00268323,-0.0479871,0.0736469,0.00268323,-0.0479871,0.0736469
46,0,0,0,-0.0224133,0.0730251,0.0312858,-0.0224133,0.0730251,0.0312858
47,0,0,0,-0.00363147,-0.023175,0.0591479,-0.00363147,-0.023175,0.0591479
48,0,0,0,0.00257646,-0.0228803,0.0232427,0.00257646,-0.0228803,0.0232427
49,0,0,0,-0.0267799,0.0595585,0.0136446,-0.0267799,0.0595585,0.0136446
50,0,0,0,-0.0236937,0.00221578,-0.00669774,-0.0236937,0.00221578,-0.00669774
51,0,0,0,0.00335481,-0.0400526,0.0481972,0.00335481,-0.0400526,0.0481972
52,0,0,0,-0.0230225,-0.00934338,0.00284836,-0.0230225,-0.00934338,0.00284836
53,0,0,0,-0.00405271,0.0102503,0.0179221,-0.00405271,0.0102503,0.0179221
54,0,0,0,0.000319948,0.00872343,0.0146686,0.000319948,0.00872343,0.0146686
55,0,0,0,-0.0374702,-0.00819252,-0.0126635,-0.0374702,-0.00819252,-0.0126635
56,0,0,0,0.0150855,0.00959588,0.061142,0.0150855,0.00959588,0.061142
57,0,0,0,-0.0150072,0.00418747,-0.00269109,-0.0150072,0.00418747,-0.00269109
58,0,0,0,-0.00692862,0.0290494,0.0460866,-0.00692862,0.0290494,0.0460866
59,0,0,0,-0.0269964,-0.0206242,-0.00930748,-0.0269964,-0.0206242,-0.00930748
60,0,0,0,0.0213763,0.038436,0.0738286,0.0213763,0.038436,0.0738286
61,0,0,0,0.0186052,0.0224525,0.0748896,0.0186052,0.0224525,0.0748896
