vtx,x,y,z
0,0.0671978,0.105892,0.0571908
1,0.0675966,0.100044,0.0567471
2,0.0640667,0.109807,0.0591192
3,0.0578288,0.109173,0.0592791
4,0.0549813,0.110453,0.06098
5,0.057486,0.100802,0.0596278
6,0.0785356,0.105598,0.0595181
7,0.0780905,0.103035,0.0585009
8,0.0586617,0.0982345,0.0603932
9,0.0706337,0.0950746,0.059312
10,0.0614764,0.112413,0.0666697
11,0.0464084,0.104832,0.0732732
12,0.050569,0.108301,0.0660695
13,0.072629,0.109439,0.0646936
14,0.0499278,0.110841,0.0681843
15,0.0890664,0.0978753,0.0625319
16,0.0854261,0.103767,0.0649194
17,0.0440027,0.110432,0.0681361
18,0.0901117,0.103806,0.0645562
19,0.0558127,0.0948838,0.0661342
20,0.0769794,0.110313,0.0672812
21,0.0469119,0.09717,0.0707936
22,0.0419538,0.111883,0.070189
23,0.0670212,0.11576,0.0696731
24,0.0469644,0.0897128,0.0734785
25,0.062362,0.0913302,0.0686285
26,0.0842008,0.0926914,0.0657188
27,0.0556383,0.124863,0.0753756
28,0.0425157,0.103428,0.0762625
29,0.0572476,0.119484,0.0737679
30,0.0811781,0.115506,0.071296
31,0.0707379,0.123331,0.0753083
32,0.0937404,0.113675,0.0700968
33,0.0884901,0.118196,0.0707299
34,0.0714476,0.0894656,0.0662291
35,0.0837893,0.0816139,0.0712559
36,0.0766829,0.0923669,0.0633342
37,0.0480792,0.120193,0.07348
38,0.0690133,0.0762923,0.0779517
39,0.0551173,0.129065,0.0800287
40,0.0795753,0.126521,0.0756292
41,0.0785616,0.0827448,0.0704091
42,0.0433159,0.117273,0.077769
43,0.102921,0.109038,0.0810179
44,0.0697261,0.128848,0.0767021
45,0.0419518,0.0981663,0.0785477
46,0.0907525,0.0900271,0.0721782
47,0.0421721,0.0888025,0.0770574
48,0.0406637,0.107455,0.0769794
49,0.0953395,0.100834,0.0726829
50,0.0892122,0.124325,0.0787026
51,0.03761,0.101131,0.0850165
52,0.0640602,0.130661,0.0797158
53,0.0447505,0.078833,0.0797675
54,0.0415785,0.072404,0.0826222
55,0.0782559,0.131408,0.0828261
56,0.0757127,0.0761324,0.0768327
57,0.0940641,0.120444,0.0776753
58,0.0806855,0.0653272,0.0784287
59,0.0605199,0.132044,0.0880438
60,0.0636558,0.0692897,0.086392
61,0.0590145,0.0776185,0.0796101
62,0.0364047,0.0898679,0.0877463
63,0.0782593,0.0649443,0.0792716
64,0.0497585,0.128975,0.0851693
65,0.0493034,0.0827197,0.078869
66,0.0385961,0.11498,0.0912949
67,0.0344424,0.0793461,0.0890046
68,0.0404551,0.12098,0.0941736
69,0.0669684,0.131928,0.0936101
70,0.0482209,0.0743149,0.0862671
71,0.0359656,0.0725694,0.086917
72,0.104433,0.103173,0.082777
73,0.0747332,0.0690765,0.0866364
74,0.0554983,0.129106,0.0921165
75,0.100946,0.0943562,0.0808369
76,0.0621913,0.131922,0.096105
77,0.09166,0.123707,0.087967
78,0.0546519,0.074351,0.0855792
79,0.0368466,0.107921,0.091022
80,0.0345267,0.0969139,0.0942549
81,0.0434997,0.125619,0.0980025
82,0.0980531,0.116311,0.0774964
83,0.0986743,0.0855168,0.0819333
84,0.0297896,0.112621,0.09535
85,0.0501058,0.129265,0.0958776
86,0.0255434,0.102335,0.0986362
87,0.0872922,0.126232,0.0909186
88,0.0245629,0.111685,0.0993444
89,0.106756,0.110525,0.0875726
90,0.112048,0.0853508,0.0838954
91,0.0782582,0.129168,0.0936653
92,0.0862913,0.0639256,0.0813439
93,0.0182344,0.10478,0.107044
94,0.046392,0.127691,0.0886837
95,0.095081,0.11885,0.08727
96,0.0780679,0.0618327,0.0841118
97,0.115696,0.0915352,0.0846393
98,0.0451535,0.0696735,0.0938604
99,0.0335109,0.125317,0.0998977
100,0.0810412,0.0598256,0.0832012
101,0.0395814,0.0685021,0.0917011
102,0.0734108,0.067119,0.0911166
103,0.0295501,0.120758,0.0983196
104,0.122357,0.101428,0.0899828
105,0.0993786,0.0752657,0.0872813
106,0.0270467,0.121087,0.100781
107,0.0503794,0.0680916,0.0953243
108,0.102416,0.114961,0.0871061
109,0.0833032,0.0563376,0.097979
110,0.066295,0.0618646,0.0939847
111,0.0331963,0.0902554,0.0982436
112,0.109539,0.0791892,0.0853605
113,0.0489308,0.129275,0.103221
114,0.0998524,0.119612,0.0968557
115,0.0397404,0.0689053,0.0999872
116,0.0783616,0.0645124,0.093376
117,0.0378087,0.135346,0.108802
118,0.107313,0.114068,0.0911947
119,0.0541368,0.0629265,0.0974062
120,0.122144,0.10912,0.0952271
121,0.0316495,0.0792045,0.0995157
122,0.0304912,0.0853391,0.104587
123,0.017856,0.0955069,0.109383
124,0.0961102,0.121984,0.096661
125,0.127477,0.0883112,0.0928671
126,0.0454059,0.0709694,0.101721
127,0.0933711,0.0758621,0.0825411
128,0.0357135,0.0706431,0.0961176
129,0.120702,0.0855771,0.0895266
130,0.0184461,0.116566,0.109377
131,0.0219479,0.122014,0.110381
132,0.0730863,0.134641,0.108847
133,0.0899807,0.130172,0.106559
134,0.086405,0.0577851,0.0932916
135,0.129164,0.0747098,0.0986172
136,0.0305536,0.133527,0.106767
137,0.061933,0.0606909,0.100476
138,0.0921086,0.0623157,0.0915489
139,0.110987,0.0669897,0.0946972
140,0.0772616,0.061227,0.0985054
141,0.046933,0.0680718,0.104966
142,0.0268845,0.129978,0.109814
143,0.036602,0.0667946,0.104641
144,0.0687775,0.0569587,0.101086
145,0.0503169,0.0593611,0.107142
146,0.100308,0.0641402,0.0969728
147,0.0341073,0.137733,0.117458
148,0.0411137,0.0641466,0.111643
149,0.106008,0.0632408,0.0984734
150,0.0169525,0.124679,0.119062
151,0.0263146,0.133084,0.121421
152,0.0991595,0.122154,0.109052
153,0.118556,0.117411,0.103126
154,0.118042,0.0724411,0.0947164
155,0.0121996,0.110364,0.118234
156,0.0845514,0.13338,0.118313
157,0.0379782,0.138161,0.116205
158,0.0305552,0.079743,0.110015
159,0.0806634,0.0582654,0.101567
160,0.0240585,0.126064,0.117689
161,0.0506284,0.136104,0.124413
162,0.0517464,0.134623,0.116628
163,0.0976348,0.0590819,0.102462
164,0.0130209,0.111762,0.113578
165,0.0303676,0.137118,0.129939
166,0.0575085,0.131226,0.110142
167,0.0328232,0.0622896,0.112914
168,0.096524,0.125353,0.113953
169,0.0812422,0.0524856,0.110759
170,0.0750913,0.050514,0.110439
171,0.130781,0.104789,0.10288
172,0.086637,0.050859,0.104509
173,0.0576446,0.0569727,0.118762
174,0.0319262,0.0710271,0.10752
175,0.129468,0.0709554,0.102417
176,0.131957,0.0856505,0.0993297
177,0.134491,0.0963376,0.106946
178,0.0646916,0.133997,0.117542
179,0.109523,0.122818,0.111195
180,0.0904882,0.13019,0.117914
181,0.0255655,0.0761304,0.11885
182,0.104787,0.0596944,0.10477
183,0.0949956,0.048638,0.112897
184,0.126396,0.113809,0.106105
185,0.0665068,0.134226,0.124484
186,0.0575082,0.137012,0.119653
187,0.070781,0.0528328,0.107147
188,0.0394743,0.0611037,0.119485
189,0.0288684,0.0631517,0.118729
190,0.123202,0.0686,0.105409
191,0.0688098,0.0555541,0.111655
192,0.0999995,0.0588542,0.111553
193,0.135404,0.102002,0.110109
194,0.0437574,0.0557783,0.118059
195,0.0954174,0.0542546,0.107514
196,0.0237082,0.0804325,0.117336
197,0.118485,0.0637727,0.103473
198,0.0906048,0.0455683,0.116467
199,0.115402,0.0556415,0.112081
200,0.13757,0.0742528,0.111477
201,0.132022,0.108902,0.115402
202,0.0297126,0.060956,0.120282
203,0.0161603,0.125356,0.124665
204,0.087004,0.044147,0.122892
205,0.0969662,0.125609,0.12011
206,0.0203281,0.128161,0.130686
207,0.012646,0.0882215,0.128955
208,0.0113084,0.095107,0.124663
209,0.125526,0.115561,0.111888
210,0.035457,0.0563949,0.128046
211,0.122306,0.0569957,0.115652
212,0.107087,0.122004,0.12312
213,0.0330717,0.0596836,0.126596
214,0.136856,0.0878877,0.114397
215,0.0796383,0.0390375,0.125482
216,0.129401,0.0678186,0.111862
217,0.0151104,0.122623,0.132438
218,0.115623,0.120838,0.122111
219,0.105494,0.0556276,0.117326
220,0.0225703,0.130977,0.132096
221,0.137795,0.0972643,0.117524
222,0.0412885,0.137324,0.130341
