vtx,cx,cy,cz,hx,hy,hz,fx,fy,fz
0,0,0,0,-0.0152248,-0.00812003,0.00869477,-0.0152248,-0.00812003,0.00869477
1,0,0,0,-0.0184925,0.00229048,0.00619667,-0.0184925,0.00229048,0.00619667
2,0,0,0,-0.00777933,-0.012937,0.00551773,-0.00777933,-0.012937,0.00551773
3,0,0,0,-0.00846109,-0.00182239,0.00707138,-0.00846109,-0.00182239,0.00707138
4,0,0,0,-0.00627466,-0.00883867,0.0225349,-0.00627466,-0.00883867,0.0225349
5,0,0,0,-0.00821223,0.00213359,0.00531768,-0.00821223,0.00213359,0.00531768
6,0,0,0,-0.00539284,-0.00326475,0.000508509,-0.00539284,-0.00326475,0.000508509
7,0,0,0,-0.00824763,-0.0014454,0.00111971,-0.00824763,-0.0014454,0.00111971
8,0,0,0,-0.0185427,0.012909,0.0100815,-0.0185427,0.012909,0.0100815
9,0,0,0,-0.0398062,0.0140902,0.00794444,-0.0398062,0.0140902,0.00794444
10,0,0,0,-0.0112957,-0.0398081,0.0216835,-0.0112957,-0.0398081,0.0216835
11,0,0,0,-0.0107293,0.0046763,0.0199642,-0.0107293,0.0046763,0.0199642
12,0,0,0,-0.00807723,0.00161798,0.0160357,-0.00807723,0.00161798,0.0160357
13,0,0,0,-0.00954662,-0.026702,0.00639091,-0.00954662,-0.026702,0.00639091
14,0,0,0,-0.006275,-0.00553091,0.00566227,-0.006275,-0.00553091,0.00566227
15,0,0,0,-0.00735124,-0.000193739,-0.000533766,-0.00735124,-0.000193739,-0.000533766
16,0,0,0,-0.0118348,-0.0141644,0.00454216,-0.0118348,-0.0141644,0.00454216
17,0,0,0,-0.0105521,0.00338453,0.0089334,-0.0105521,0.00338453,0.0089334
18,0,0,0,-0.0149622,-0.00810576,0.0017459,-0.0149622,-0.00810576,0.0017459
19,0,0,0,-0.0163527,0.0125999,0.0104575,-0.0163527,0.0125999,0.0104575
20,0,0,0,-0.023727,-0.0308485,0.0138278,-0.023727,-0.0308485,0.0138278
21,0,0,0,-0.020826,0.0105279,0.0504704,-0.020826,0.0105279,0.0504704
22,0,0,0,-0.00485871,0.00337185,0.0117153,-0.00485871,0.00337185,0.0117153
23,0,0,0,-0.0189164,-0.0293542,0.0186205,-0.0189164,-0.0293542,0.0186205
24,0,0,0,-0.0223796,0.00982395,0.0148506,-0.0223796,0.00982395,0.0148506
25,0,0,0,-0.0500802,0.0309425,0.0216646,-0.0500802,0.0309425,0.0216646
26,0,0,0,-0.0115027,0.00227059,0.00013482,-0.0115027,0.00227059,0.00013482
27,0,0,0,-0.0215457,-0.0263971,0.0242846,-0.0215457,-0.0263971,0.0242846
28,0,0,0,-0.0130501,0.00919351,0.0271245,-0.0130501,0.00919351,0.0271245
29,0,0,0,-0.0286194,-0.0292744,0.0244499,-0.0286194,-0.0292744,0.0244499
30,0,0,0,-0.0391509,-0.0370344,0.0332992,-0.0391509,-0.0370344,0.0332992
31,0,0,0,-0.034645,-0.0269237,0.0259864,-0.034645,-0.0269237,0.0259864
32,0,0,0,-0.0275825,-0.024705,-0.00306505,-0.0275825,-0.024705,-0.00306505
33,0,0,0,-0.03614,-0.0409537,0.0243546,-0.03614,-0.0409537,0.0243546
34,0,0,0,-0.0162203,0.00874127,0.00524182,-0.0162203,0.00874127,0.00524182
35,0,0,0,-0.0151089,0.00188453,3.7075e-05,-0.0151089,0.00188453,3.7075e-05
36,0,0,0,-0.0245762,0.00667649,0.00164474,-0.0245762,0.00667649,0.00164474
37,0,0,0,-0.00528657,-0.00587392,0.00862436,-0.00528657,-0.00587392,0.00862436
38,0,0,0,-0.048603,0.0305025,0.0176195,-0.048603,0.0305025,0.0176195
39,0,0,0,-0.000466704,-0.0495033,0.0433941,-0.000466704,-0.0495033,0.0433941
40,0,0,0,-0.0291239,-0.0614012,0.0237029,-0.0291239,-0.0614012,0.0237029
41,0,0,0,-0.0389347,0.0165375,0.0169479,-0.0389347,0.0165375,0.0169479
42,0,0,0,0.00363274,-0.00390282,0.0244717,0.00363274,-0.00390282,0.0244717
43,0,0,0,-0.0502796,-0.0460653,-0.0295791,-0.0502796,-0.0460653,-0.0295791
44,0,0,0,-0.0190012,-0.0314358,0.0188135,-0.0190012,-0.0314358,0.0188135
45,0,0,0,-0.0111992,0.0132318,0.0491441,-0.0111992,0.0132318,0.0491441
46,0,0,0,-0.0294529,-0.000687775,-0.00928287,-0.0294529,-0.000687775,-0.00928287
47,0,0,0,-0.0176395,0.00906374,0.0356504,-0.0176395,0.00906374,0.0356504
48,0,0,0,-0.00156632,0.0063272,0.0212665,-0.00156632,0.0063272,0.0212665
49,0,0,0,-0.0273748,-0.00563559,-0.0123022,-0.0273748,-0.00563559,-0.0123022
50,0,0,0,-0.00781342,-0.0428907,-0.00524866,-0.00781342,-0.0428907,-0.00524866
51,0,0,0,-0.00433336,0.0100592,0.0378548,-0.00433336,0.0100592,0.0378548
52,0,0,0,-0.00465411,-0.0283963,0.0170826,-0.00465411,-0.0283963,0.0170826
53,0,0,0,-0.017281,0.00366246,0.00415366,-0.017281,0.00366246,0.00415366
54,0,0,0,-0.0149238,0.00638934,0.00307011,-0.0149238,0.00638934,0.00307011
55,0,0,0,0.00423257,-0.0747834,0.00478941,0.00423257,-0.0747834,0.00478941
56,0,0,0,-0.0286566,0.0219681,0.0194909,-0.0286566,0.0219681,0.0194909
57,0,0,0,-0.00826889,-0.0153632,-0.00323156,-0.00826889,-0.0153632,-0.00323156
58,0,0,0,-0.0326242,0.00730446,0.00700288,-0.0326242,0.00730446,0.00700288
59,0,0,0,0.0148175,-0.0377237,0.0161242,0.0148175,-0.0377237,0.0161242
60,0,0,0,-0.0571438,0.0382398,0.016532,-0.0571438,0.0382398,0.016532
61,0,0,0,-0.0466886,0.0332181,0.0243778,-0.0466886,0.0332181,0.0243778
62,0,0,0,-0.00234268,0.00890459,0.0494204,-0.00234268,0.00890459,0.0494204
63,0,0,0,-0.0129168,0.0160381,0.0230316,-0.0129168,0.0160381,0.0230316
64,0,0,0,0.0154902,-0.046027,0.050058,0.0154902,-0.046027,0.050058
65,0,0,0,-0.0181976,0.00688671,0.00337367,-0.0181976,0.00688671,0.00337367
66,0,0,0,-0.00565946,-0.0106062,0.0607927,-0.00565946,-0.0106062,0.0607927
67,0,0,0,-0.000861083,0.0138981,0.054738,-0.000861083,0.0138981,0.054738
68,0,0,0,-0.00403383,-0.0318093,0.064049,-0.00403383,-0.0318093,0.064049
