flow_z,run,avg_step_ms,max_step_ms,final_vol,vol_shrink_pct,final_inverted,com_x,com_y,com_z,ub_x,ub_y,ub_z,hydro_nonzero,hydro_total,hydro_pct
0.0,1,1576.142271,1836.715865,0.9640438903,3.595610969,13,-4.007003573e-08,5.126019302e-08,0.3709233387,0.05085494306,0.05766828264,0.3503548257,7144,7144,100.0
0.0,2,1578.972216,1909.898545,0.9703361346,2.966386543,3,-4.184617777e-09,2.483970166e-08,0.4027129446,0.09627499885,0.1549314389,0.3965170115,7144,7144,100.0
0.0,3,1559.753894,1741.801015,0.9636277538,3.637224624,8,1.717427825e-09,3.315628617e-08,0.5078762158,0.07865898041,0.1356064179,0.4943637102,7144,7144,100.0
-0.025,1,1597.781852,1858.15113,0.9756405594,2.435944058,6,-4.706068578e-08,1.352877164e-08,0.3552837943,0.1334302371,0.2752726585,0.4554568501,7144,7144,100.0
-0.025,2,1590.205357,1805.52959,0.9636261022,3.637389782,3,8.491538861e-09,-2.386218813e-08,0.2640781204,0.1412973033,0.1400814027,0.2627293079,7144,7144,100.0
-0.025,3,1587.25295,1804.657782,0.9639841853,3.601581475,7,-2.164187941e-08,-1.499233404e-09,0.4578972065,0.1341903702,0.1847842598,0.472755512,7144,7144,100.0
-0.05,1,1606.212793,1919.095944,0.9797390673,2.026093275,3,2.459754597e-08,-1.459141488e-09,0.386713092,0.1756439943,0.04674403035,0.3905323113,7144,7144,100.0
-0.05,2,1587.906084,1806.48939,0.9736042285,2.639577146,6,-6.424459793e-08,-5.265285599e-08,0.3150260273,-0.01558250989,0.1675023767,0.3288678492,7144,7144,100.0
-0.05,3,1576.399266,1815.503134,0.9599767609,4.002323907,3,-9.933088237e-08,-4.703102505e-08,0.3614911276,0.1322080195,-0.0115047319,0.3633845963,7144,7144,100.0
-0.08,1,1594.658173,2002.285258,0.9659469592,3.405304079,3,2.826507126e-08,1.954430927e-08,0.2852335936,0.1110032853,0.08359647959,0.2671672603,7144,7144,100.0
-0.08,2,1593.665412,1794.168011,0.9669729452,3.302705476,3,-7.120863284e-08,-1.197270753e-08,0.4156297922,0.1362418959,0.05793133147,0.4035102156,7144,7144,100.0
-0.08,3,1609.908216,1980.594628,0.9599319697,4.006803027,6,-4.416566991e-08,-8.178990638e-09,0.3383863571,0.1608600095,-0.1257456669,0.4509103207,7144,7144,100.0
